question_id,target_persona,question_text,question_category,age_band,benchmark_set,difficulty,safety_sensitive,notes_pre_run,sequence_id
Q116,gentle,My 6 month old wakes at 5am.,,,core,,,,seq1
Q117,gentle,"We tried making the room darker like you said, but he's still waking up.",,,core,,,,seq1
Q001,gentle,My 4-week-old has his days and nights completely confused. He sleeps all day and is wide awake from 1am to 5am.,,,core,,,
Q002,gentle,"We just brought her home. She will only sleep if she is being held on my chest. Whenever we put her in the bassinet, she screams instantly.",,,core,,,
Q003,balanced,Is it okay if my 2-month-old sleeps in his bouncer sometimes during the day? It's the only way I get anything done.,,,core,,,
Q004,gentle,He wakes up crying every 45 minutes all night. We are exclusively breastfeeding. Is he just hungry?,,,core,,,
Q005,balanced,My 8-week-old fights every single nap. By 5pm they are completely inconsolable and just scream for an hour. What do I do?,,,core,,,
Q006,fast-track,How long should my 3-month-old be awake between naps? I keep missing her tired signs.,,,core,,,
Q007,balanced,"She has started heavily rubbing her eyes after only 45 minutes of being awake, but if I try to put her down she just stares at me for 20 minutes.",,,core,,,
Q008,gentle,Can I introduce a pacifier to my breastfed 6-week-old to help him settle? The hospital said no but I'm desperate.,,,core,,,
Q009,balanced,"My baby is 10 weeks old. Sometimes when he sleeps he makes these intense grunting and thrashing noises, but his eyes are closed. Should I wake him up?",,,core,,,
Q010,balanced,"We want to swaddle our 3-month-old for naps, but he recently started rolling from his back to his tummy during playtime. Is it still safe?",,,core,,,
Q011,balanced,He hit 4.5 months and suddenly he's waking up every hour overnight. It's been three weeks and it's worse than when he was a newborn!,,,core,,,
Q012,fast-track,We are dropping the swaddle because she's heavily rolling now. The transitioning sleeping bag is not working. She wakes herself up with her arms constantly.,,,core,,,
Q013,balanced,My 5-month-old only takes 30-minute micro-naps during the day. He's taking 5 or 6 of them. How do we lengthen them?,,,core,,,
Q014,gentle,We just started solids this week (purees) and suddenly his night sleep went from 8 hours to waking 3 times a night crying. Is it a tummy ache?,,,core,,,
Q015,balanced,I have a 6-month-old. Should we be on 3 naps or 2 naps right now? Some days he refuses the late afternoon nap entirely.,,,core,,,
Q016,fast-track,She keeps waking up at 5:00 AM bright and ready to start the day. Bedtime is 7:00 PM. How do I shift her to a 6:30 AM wake up?,,,core,,,
Q017,balanced,"My 5-month-old keeps waking up in the middle of the night, not crying, just cooing and playing in the dark for almost two hours. What causes this split night?",,,core,,,
Q018,balanced,"If I give him a 10-minute wait when he wakes up crying from a nap, does that count as cry-it-out?",,,core,,,
Q019,fast-track,He is formula fed and 24 weeks old. Can we drop the midnight feed cold-turkey?,,,core,,,
Q020,gentle,My 5-month-old was doing great but then got a cold. We brought her into our bed for 4 nights to elevate her head. Now she refuses the cot. How do I undo this?,,,core,,,
Q021,balanced,"My 8-month-old learned to pull to a stand yesterday. Now, every time I put her down for a sleep, she immediately stands up and cries. If I lay her down, she pops right back up.",,,core,,,
